geolocation_city,geolocation_state,geolocation_lat,geolocation_lng,payment_value
araguari,MG,-18.66447251130228,-48.18422087474431,2416.0
rio de janeiro,RJ,-22.903372534964117,-43.18873569533812,2337.2316666666666
sao paulo,SP,-23.45723770552253,-46.64696064723873,2328.4
pianco,PB,-7.199087606349144,-37.9207019331257,2324.99
sao sebastiao,AL,-9.937362587053643,-36.55310979364832,2269.98
goiânia,GO,-16.669842288749233,-49.33608264816073,2267.28
nova esperanca do piria,PA,-2.2739229884031325,-46.9704525938559,2252.66
ponta porã,MS,-22.561155926946515,-55.689172525062325,2133.69
araguaina,TO,-7.183814060777828,-48.21669401223685,2094.44
pacatuba,CE,-3.900845505904278,-38.59929334345368,2053.9700000000003
fazenda rio grande,PR,-25.66105151298395,-49.32501661255965,1963.14
aracaju,SE,-11.091204408782543,-37.13651369203823,1729.9800000000002
loreto,MA,-7.086635923831604,-45.14038387670624,1643.64
gaspar,SC,-26.932547252597665,-48.95691757514654,1621.615
ibitita,BA,-11.54048442546934,-41.9790825,1534.58
recife,PE,-8.08491636663973,-34.93096763696693,1381.31
santana do livramento,RS,-30.89672731287172,-55.48805884391367,1323.79
paranatinga,MT,-14.426861202964435,-54.05243875069832,1287.1599999999999
alto paraiso,RO,-9.718873356827435,-63.31295501978543,1260.76
coari,AM,-4.091860991210176,-63.14751968166446,1259.04
caiçara do norte,RN,-5.063537654523469,-36.05172986000658,1157.41
brasilia,DF,-15.865852007071766,-48.02592928650557,1125.58
linhares,ES,-19.374829401340627,-40.052093765784605,963.34
matias olimpio,PI,-3.72009636694862,-42.55567797229149,841.4
boa vista,RR,2.8471714284267238,-60.726677295086986,596.5600000000001
macapá,AP,0.0199738915224052,-51.07370874948396,569.025
rio branco,AC,-9.93034257285476,-67.82081885636795,532.5833333333334
